age_group,popest_2002,popest_2001,popest_2000,censuspop_2000,gender
Under 5 years,51255.00000000007,50767.00000000007,50616,50047,mpop
5 to 9 years,50964,51504,52137,51860,mpop
10 to 14 years,54588,54251,54129,53697,mpop
15 to 19 years,56431.00000000008,57016,56179,56131,mpop
20 to 24 years,52531,50687,49499,48934,mpop
25 to 29 years,45555,44212,43905,44117,mpop
30 to 34 years,45137,44266,43293,43111,mpop
35 to 39 years,45911,46879,47591,47940,mpop
40 to 44 years,50457,49894,49205,49149,mpop
45 to 49 years,48507,47735,46488,46290,mpop
50 to 54 years,43315.00000000008,41897.99999999995,40012.99999999993,39499,mpop
55 to 59 years,33984.99999999995,31845,30151,29949,mpop
60 to 64 years,26415,25113,23982,23775,mpop
65 to 69 years,20420.00000000005,19950.00000000006,19544.00000000006,19462,mpop
70 to 74 years,16879.00000000006,16886.00000000007,16780.00000000005,16768,mpop
75 to 79 years,13455,13395,13328,13280,mpop
80 to 84 years,9406,9098,8730.999999999991,8670,mpop
85 years and over,6734,6413,6091,5981,mpop
Under 5 years,48695,48235,48131,47596,fpop
5 to 9 years,48588.99999999994,48816,49164,48896,fpop
10 to 14 years,51523.00000000008,51514.00000000006,51332,50911,fpop
15 to 19 years,53240.00000000009,53796,54769,54727,fpop
20 to 24 years,51659,49067,45570,45060,fpop
25 to 29 years,41384,40748,40754,41011,fpop
30 to 34 years,43080,42264,41366,41194,fpop
35 to 39 years,44860,45763,46583,46973,fpop
40 to 44 years,49895,49641,48963,48906,fpop
45 to 49 years,48619,47609.99999999992,46071,45882,fpop
50 to 54 years,42831,41110,39084,38577,fpop
55 to 59 years,33925,31963,30264,30075,fpop
60 to 64 years,26639,25046,23940,23730,fpop
65 to 69 years,21555,21125,20790,20707,fpop
70 to 74 years,19038,19067,19037,19033,fpop
75 to 79 years,16968,17081,17189,17163,fpop
80 to 84 years,13719,13300,12855,12776,fpop
85 years and over,12967,12630,12197,12076,fpop
