year,deaths,population,cruderate,ageadjustedrate,ageadjustedratelower95conf,ageadjustedrateupper95conf,ageadjustedratestandarderror
2021,18346,1900923,9.651,8.817,8.686999999999999,8.948,.067
2022,17162,1939033,8.851000000000001,7.721,7.603,7.838,.06
2023,16474,1939033,8.496,7.404,7.289,7.519,.059
1999,9579,1275674,7.509,8.269,8.103,8.435,.085
2000,9563,1293953,7.391,8.099,7.937,8.262,.083
2001,9753,1319962,7.389,8.025,7.865,8.183999999999999,.081
2002,9923,1340372,7.403,7.995,7.838,8.153,.08
2003,10380,1363380,7.613,8.122999999999999,7.967,8.279999999999999,.08
2004,10028,1391802,7.205,7.668,7.518,7.819,.077
2005,10556,1428241,7.391,7.827,7.677,7.977,.076
2006,10613,1468669,7.226,7.541,7.397,7.685,.074
2007,10822,1505105,7.19,7.461,7.32,7.603,.072
2008,10962,1534320,7.145,7.37,7.231,7.509,.071
2009,11098,1554439,7.14,7.266,7.13,7.402,.07
2010,11429,1567582,7.291,7.305,7.17,7.44,.069
2011,12027,1584985,7.588,7.463,7.328,7.598,.069
2012,11998,1595728,7.519,7.249,7.118,7.38,.067
2013,12434,1612136,7.713,7.29,7.161,7.42,.066
2014,12613,1634464,7.717,7.237,7.109,7.365,.065
2015,13026,1654930,7.871,7.272,7.145,7.398,.065
2016,13366,1683140,7.941,7.264,7.139,7.389,.064
2017,14011,1716943,8.16,7.43,7.305,7.555,.064
2018,14261,1754208,8.130000000000001,7.266,7.145,7.387,.062
2019,14430,1787065,8.074999999999999,7.135,7.017,7.253,.06
2020,16402,1826913,8.978,7.843,7.721,7.965,.062
