year,cfips,county_name,no_returns_in,no_indiv_in,agi_in,no_returns_out,no_indiv_out,agi_out,no_returns_stay,no_indiv_stay,agi_stay
2022,1,Ada County,16339,29624,1531200,14567,26317,1087677,192639,394506,23070598
2022,3,Adams County,205,398,17804,143,245,7239,1571,3156,109015
2022,5,Bannock County,2267,4399,123370,2093,3907,108977,30531,66216,2115708
2022,7,Bear Lake County,155,341,10269,128,252,6905,2217,5345,150338
2022,9,Benewah County,337,704,23684,227,413,10646,3556,7490,215037
2022,11,Bingham County,1320,2923,74466,1103,2288,53370,16227,39357,1142083
2022,13,Blaine County,756,1292,242719,703,1149,108794,10436,19991,3477621
2022,15,Boise County,402,756,35952,287,532,20290,2915,5809,251514
2022,17,Bonner County,1931,3939,194411,1329,2429,93449,18086,37025,1921479
2022,19,Bonneville County,3736,7930,245606,3346,7023,226224,43018,101463,4087340
2022,21,Boundary County,445,968,35709,299,588,17401,4760,10626,335794
2022,23,Butte County,77,183,4201,39,74,2011,892,2002,56633
2022,25,Camas County,32,66,1848,30,51,2321,405,834,35538
2022,27,Canyon County,8958,17782,674503,6709,12975,372815,83083,186059,6071444
2022,29,Caribou County,174,348,10192,154,302,7994,2436,5893,199913
2022,31,Cassia County,673,1529,36344,659,1431,33305,8114,20068,675820
2022,33,Clark County,,,,,,,241,558,12049
2022,35,Clearwater County,275,527,19730,227,408,10811,2911,5835,190631
2022,37,Custer County,171,323,10995,144,257,6285,1649,3299,100051
2022,39,Elmore County,1395,2788,69861,1295,2645,65896,9571,20381,560405
2022,41,Franklin County,376,924,28037,263,573,12438,4961,12719,347683
2022,43,Fremont County,432,950,29498,384,793,19308,4675,11163,310979
2022,45,Gem County,758,1599,63290,551,1067,27137,6946,14880,473088
2022,47,Gooding County,442,864,25652,376,773,17341,5260,11908,312018
2022,49,Idaho County,500,1018,31797,393,715,23503,5720,12012,403380
2022,51,Jefferson County,1099,2613,77923,928,2059,51899,9812,26405,788419
2022,53,Jerome County,662,1352,33511,632,1282,28525,7937,18628,502472
2022,55,Kootenai County,6059,11892,647407,4991,9236,367059,67969,140681,6757234
2022,57,Latah County,1357,2427,81433,1626,2592,79430,13025,27048,1139918
2022,59,Lemhi County,295,553,30424,172,307,8444,3158,6136,199737
2022,61,Lewis County,177,397,14311,141,273,5645,1441,3025,86206
2022,63,Lincoln County,155,352,6995,138,241,6472,1645,3788,96700
2022,65,Madison County,2008,4110,82243,2601,5461,105209,10605,27026,725128
2022,67,Minidoka County,596,1322,28888,519,1061,22465,7621,17542,499889
2022,69,Nez Perce County,1216,2187,66542,1134,1930,57420,15541,31228,1183205
2022,71,Oneida County,160,415,10182,94,188,5689,1587,3821,96045
2022,73,Owyhee County,472,962,33919,412,819,25432,4107,9289,257074
2022,75,Payette County,1000,2025,64006,800,1647,42525,8849,19973,649562
2022,77,Power County,175,378,10062,197,404,10815,2751,6614,158233
2022,79,Shoshone County,434,792,30762,327,579,16503,4663,9285,271283
2022,81,Teton County,591,961,79832,467,836,41840,4478,9327,492858
2022,83,Twin Falls County,2600,5127,160877,2242,4233,125319,32141,70757,2289697
2022,85,Valley County,576,1040,79714,512,847,77181,4685,9337,530418
2022,87,Washington County,351,767,22549,263,525,15469,3758,8171,231482
