age_group,totalpop,mpop,fpop
Under 5 years,119090.16,61154.32,57939.969
5 to 9 years,116036.57,58096.605,57939.969
10 to 14 years,114509.77,60389.891,54890.496
15 to 19 years,116036.57,58861.031,56415.23
20 to 24 years,108402.59,55803.316,53365.762
25 to 29 years,103822.2,53510.031,51078.656
30 to 34 years,96188.211,49687.887,47266.816
35 to 39 years,96188.211,48923.457,47266.816
40 to 44 years,97715.008,48923.457,48029.184
45 to 49 years,105348.99,51981.172,52603.391
50 to 54 years,102295.4,50452.313,51841.023
55 to 59 years,91607.82,45101.313,46504.449
60 to 64 years,76339.852,38221.449,38118.398
65 to 69 years,58018.285,28283.873,29732.352
70 to 74 years,42750.316,21404.012,22108.672
75 to 79 years,33589.535,14524.151,18296.832
80 to 84 years,25955.549,11466.435,14484.992
85 years and over,22901.955,8408.7188,15247.36
