age_group,censuspop_1990,gender
Under 5 years,41777,mpop
5 to 9 years,46134,mpop
10 to 14 years,46104,mpop
15 to 19 years,41051,mpop
20 to 24 years,34126,mpop
25 to 29 years,36227,mpop
30 to 34 years,40340,mpop
35 to 39 years,39861,mpop
40 to 44 years,35323,mpop
45 to 49 years,27238,mpop
50 to 54 years,22302,mpop
55 to 59 years,19172,mpop
60 to 64 years,18682,mpop
65 to 69 years,17802,mpop
70 to 74 years,14468,mpop
75 to 79 years,10631,mpop
80 to 84 years,6146,mpop
85 years,3575,mpop
Under 5 years,39772,fpop
5 to 9 years,43695,fpop
10 to 14 years,43769,fpop
15 to 19 years,39684,fpop
20 to 24 years,31681,fpop
25 to 29 years,35845,fpop
30 to 34 years,40534,fpop
35 to 39 years,39652,fpop
40 to 44 years,34056,fpop
45 to 49 years,26772,fpop
50 to 54 years,22041,fpop
55 to 59 years,20034,fpop
60 to 64 years,19976,fpop
65 to 69 years,20103,fpop
70 to 74 years,17221,fpop
75 to 79 years,13899,fpop
80 to 84 years,9367,fpop
85 years,7689,fpop
