id,year,type,out_returns,out_exempt,out_agi,in_returns,in_exempt,in_agi
1,2012,total,23936,50517,1091700,24256,50955,1088334
2,2012,domestic,23425,49394,1068395,23811,50051,1068464
3,2012,foreign,511,1123,23305,445,904,19870
4,2012,same_state,18696,41462,614701,18696,41462,614701
5,2012,non_migrant,517231,1236568,27123376,517231,1236568,27123376
6,2013,total,23602,49380,1012769,26268,56120,1582801
7,2013,domestic,23185,48541,989132,25903,55279,1563560
8,2013,foreign,417,839,23637,365,841,19242
9,2013,same_state,19078,42380,682051,19078,42380,682051
10,2013,non_migrant,520985,1241679,29593948,520985,1241679,29593948
11,2014,total,22648,47207,1014590,25028,53335,1282273
12,2014,domestic,22253,46348,995340,24650,52420,1260791
13,2014,foreign,395,859,19250,378,915,21481
14,2014,same_state,18731,40976,669129,18731,40976,669129
15,2014,non_migrant,529688,1254566,30161059,529688,1254566,30161059
16,2015,total,17022,33194,909093,18284,36633,953883
17,2015,domestic,16680,32534,893142,17848,35607,930290
18,2015,foreign,342,660,15951,436,1026,23593
19,2015,same_state,14508,30193,522058,14508,30193,522058
20,2015,non_migrant,546985,1283315,32767635,546985,1283315,32767635
21,2016,total,21960,44831,1059312,28594,60358,1746731
22,2016,domestic,21580,43987,1040141,28217,59527,1727761
23,2016,foreign,380,844,19171,377,831,18970
24,2016,same_state,19626,42251,792286,19626,42251,792286
25,2016,non_migrant,547833,1276657,33956812,547833,1276657,33956812
26,2017,total,28848,59853,1404845,42113,91749,2716573
27,2017,domestic,28536,59145,1389581,41842,91124,2703934
28,2017,foreign,312,708,15264,271,625,12639
29,2017,same_state,26637,58143,1161107,26637,58143,1161107
30,2017,non_migrant,546694,1264586,35047753,546694,1264586,35047753
31,2018,total,23756,46929,1176478,33561,69676,2289852
32,2018,domestic,23524,46475,1165236,33265,69035,2274642
33,2018,foreign,232,454,11243,296,641,15210
34,2018,same_state,21961,46387,988090,21961,46387,988090
35,2018,non_migrant,576277,1325045,38718655,576277,1325045,38718655
36,2019,total,23524,45250,1312194,33752,68353,2544444
37,2019,domestic,23318,44794,1302750,33506,67796,2532736
38,2019,foreign,206,456,9444,246,557,11708
39,2019,same_state,21504,44519,994714,21504,44519,994714
40,2019,non_migrant,595101,1352020,43020893,595101,1352020,43020893
41,2020,total,25232,51021,1368063,40529,87679,3423505
42,2020,domestic,24973,50377,1355955,40273,87032,3409968
43,2020,foreign,259,644,12108,256,647,13537
44,2020,same_state,23869,51218,1184959,23869,51218,1184959
45,2020,non_migrant,607251,1434583,45153796,607251,1434583,45153796
46,2021,total,28149,54080,1654906,42291,86079,3812348
47,2021,domestic,27966,53699,1645910,42047,85520,3799121
48,2021,foreign,183,381,8996,244,559,13226
49,2021,same_state,24477,48637,1283093,24477,48637,1283093
50,2021,non_migrant,628287,1374275,50009113,628287,1374275,50009113
